frequency,recency,T,monetary_value,clv
1.0,182.0,222.0,178.5,618.416427753104
2.0,240.0,279.0,307.025,1140.730638705687
4.0,83.0,87.0,223.26,2636.7813760286913
1.0,17.0,35.0,704.0400000000001,6186.944920421033
2.0,205.0,223.0,731.26,3218.4027957792327
1.0,97.0,129.0,576.65,2817.7892476909274
4.0,212.0,258.0,166.29999999999998,969.6442582795381
8.0,182.0,214.0,295.86875,3304.065083314906
1.0,124.0,165.0,377.65999999999997,1576.5398835164126
17.0,313.0,326.0,655.675294117647,10195.796738669953
1.0,71.0,138.0,341.19,1512.58336951611
2.0,108.0,280.0,1341.9099999999999,4240.712810808942
11.0,283.0,287.0,561.9709090909091,6599.267814069053
5.0,76.0,101.0,694.678,8734.364210444895
4.0,229.0,248.0,480.3575,2894.7137951506124
1.0,65.0,115.0,1005.54,5063.938616344104
7.0,256.0,284.0,799.2642857142857,6507.808041871892
1.0,57.0,68.0,366.45,2572.822883369193
4.0,204.0,293.0,700.98,3625.681639175629
3.0,217.0,277.0,436.9533333333334,2001.573179869421
10.0,291.0,330.0,304.09700000000004,2935.601767411508
2.0,258.0,326.0,311.755,1017.4209716729914
1.0,148.0,257.0,779.1,2214.2222798412627
1.0,98.0,256.0,171.15,436.38498564041487
5.0,170.0,203.0,688.7439999999999,5574.3367626090185
1.0,36.0,39.0,42.5,401.1714869617159
8.0,321.0,334.0,360.1375,2879.2661761808217
5.0,264.0,283.0,518.7760000000001,3297.604880654423
1.0,7.0,292.0,63.0,50.4367678089757
3.0,107.0,316.0,974.8233333333333,3030.9271103632545
2.0,106.0,217.0,803.865,3347.44580870041
2.0,134.0,193.0,513.1949999999999,2454.091204876138
3.0,116.0,168.0,315.59999999999997,2062.2391887263157
4.0,241.0,272.0,160.0575,900.7322382188155
9.0,311.0,314.0,1939.362222222222,17928.576717705193
7.0,231.0,244.0,37.80142857142857,350.8101751681236
2.0,40.0,74.0,250.48999999999998,2115.2753920011055
20.0,324.0,328.0,532.8605,9566.548324251826
20.0,311.0,332.0,435.747,7728.559144132044
13.0,315.0,326.0,549.2053846153847,6733.75933303607
4.0,150.0,174.0,344.87,2672.5146175208947
4.0,42.0,54.0,475.18000000000006,6934.453507175393
4.0,299.0,318.0,139.075,695.3889702215847
5.0,199.0,280.0,121.16400000000002,761.9164653859985
1.0,113.0,144.0,430.17,1975.0357777829663
2.0,144.0,171.0,166.95,888.3478832860595
2.0,55.0,130.0,366.955,2176.8863161527734
2.0,150.0,176.0,1056.525,5467.064424786211
1.0,163.0,203.0,460.63,1677.0341822130847
1.0,7.0,32.0,283.55,2522.068910458388
3.0,91.0,130.0,328.55333333333334,2541.161360473302
10.0,315.0,318.0,492.11199999999997,4919.553771647108
13.0,308.0,329.0,178.84230769230768,2175.9836079702304
23.0,324.0,327.0,332.78913043478263,6812.568734877455
3.0,105.0,162.0,353.0566666666667,2350.1787475103124
14.0,322.0,332.0,265.70214285714286,3428.368606494397
3.0,188.0,255.0,958.8133333333334,4647.610119766352
1.0,94.0,206.0,371.24,1189.1398452438507
20.0,330.0,330.0,213.2335,3812.8238272172125
5.0,286.0,326.0,329.692,1870.5521036474283
5.0,65.0,111.0,120.28200000000001,1411.161849503839
2.0,251.0,293.0,334.13500000000005,1194.197477803379
5.0,271.0,318.0,293.71999999999997,1697.0267679871217
5.0,225.0,281.0,546.308,3457.874025401757
3.0,261.0,293.0,194.59666666666666,864.0867959144975
11.0,313.0,325.0,1549.4445454545455,16479.33126839058
1.0,22.0,298.0,459.8,453.7312225335446
1.0,21.0,60.0,37.5,283.1562398838596
5.0,267.0,279.0,1824.078,11723.496885557759
8.0,303.0,330.0,391.75,3155.683253082545
90.0,331.0,334.0,207.56400000000002,15436.604152735454
4.0,100.0,174.0,159.10500000000002,1188.873967647081
7.0,254.0,323.0,2337.2214285714285,16979.878291335335
2.0,73.0,269.0,1451.7749999999999,4111.335008101989
3.0,116.0,326.0,728.5499999999998,2270.0655989109746
6.0,160.0,172.0,591.1999999999999,6171.861701331567
1.0,160.0,237.0,1221.4,3827.912007414107
2.0,223.0,236.0,543.32,2299.3471698690278
1.0,231.0,330.0,174.0,430.73029610705805
5.0,309.0,327.0,1024.382,5811.202626132667
4.0,122.0,272.0,228.85750000000002,1104.0919082524238
4.0,249.0,273.0,123.015,692.5245185684479
8.0,182.0,332.0,370.0025,2326.4185724306644
2.0,221.0,245.0,413.37,1698.3642799589834
4.0,208.0,318.0,519.6675,2492.457021367749
2.0,22.0,36.0,169.51,1931.117519844175
1.0,101.0,153.0,158.1,689.9011434446059
1.0,37.0,332.0,413.68,410.7262246619496
1.0,45.0,59.0,543.41,4023.138303834858
1.0,126.0,131.0,1718.4,8518.128556911777
1.0,184.0,329.0,151.95000000000002,356.44178799574854
2.0,24.0,245.0,133.625,256.1454531355926
1.0,51.0,159.0,615.36,2210.2611933579074
1.0,81.0,137.0,318.65,1454.3619909582442
1.0,83.0,222.0,1542.08,4340.420768810589
2.0,282.0,287.0,280.765,1029.921094311566
2.0,17.0,48.0,114.04,1160.4537320679942
4.0,222.0,257.0,382.5,2237.224832561853
5.0,294.0,326.0,178.204,1014.5449787155126
3.0,65.0,91.0,144.77,1385.0855666795997
2.0,38.0,321.0,22.9,31.733541428903628
4.0,80.0,132.0,1425.04,12871.18929757718
3.0,252.0,272.0,588.7233333333334,2763.390539217855
11.0,324.0,328.0,311.81363636363636,3297.6233377426693
5.0,83.0,187.0,544.034,4073.6680814676743
20.0,328.0,332.0,165.993,2953.5646359636926
1.0,238.0,269.0,808.26,2414.237627632191
7.0,199.0,225.0,209.51571428571427,2035.603441800427
3.0,23.0,251.0,48.43000000000001,70.36772842965877
5.0,208.0,276.0,377.53,2409.7611382781834
2.0,240.0,279.0,443.66499999999996,1645.4340925837582
3.0,24.0,24.0,315.61,4978.337820525357
1.0,92.0,263.0,304.8,725.9106569776029
5.0,264.0,321.0,468.84,2678.8731642285334
5.0,188.0,334.0,280.75200000000007,1426.9129365519843
1.0,123.0,168.0,248.64,1026.266938160507
1.0,39.0,326.0,221.44,237.01569366911676
1.0,219.0,323.0,49.470000000000006,130.05336530605018
1.0,139.0,157.0,726.4300000000001,3189.3281542467284
9.0,280.0,319.0,119.25222222222222,1085.6881768069763
1.0,30.0,227.0,315.18,594.9714649214917
3.0,47.0,52.0,137.35666666666665,1716.0802285587588
2.0,60.0,84.0,314.2,2521.421039478406
2.0,152.0,180.0,373.845,1909.7026144576726
3.0,41.0,216.0,114.54,381.0855662753173
2.0,107.0,253.0,63.5,231.68171531145933
2.0,44.0,47.0,39.75,432.2996448801485
1.0,97.0,262.0,87.7,220.52129998767836
24.0,227.0,231.0,571.2412499999999,15886.00610812751
2.0,254.0,273.0,180.0,686.5263146077175
6.0,214.0,214.0,357.28000000000003,3210.218638259539
4.0,177.0,202.0,512.545,3579.5229589277433
2.0,86.0,329.0,365.71000000000004,815.1222911753484
1.0,224.0,333.0,164.0,399.7825259280325
3.0,182.0,281.0,722.4,3198.0211687339834
4.0,84.0,130.0,88.775,822.4348652193751
29.0,330.0,334.0,410.4672413793104,10252.98675898843
4.0,239.0,288.0,175.03750000000002,938.0959945830509
3.0,314.0,320.0,360.81333333333333,1497.778541137841
2.0,93.0,132.0,207.9,1290.8549335083248
10.0,290.0,318.0,2498.775,24878.407262861518
1.0,112.0,244.0,246.74,692.7932746961188
4.0,210.0,280.0,294.5,1595.7995594984588
2.0,196.0,228.0,304.505,1317.4338084845808
5.0,270.0,295.0,1807.2239999999997,11101.714027620586
3.0,41.0,48.0,171.67333333333332,2204.8461685028306
2.0,234.0,326.0,212.575,688.184025513642
10.0,230.0,334.0,142.224,1269.715058883423
6.0,220.0,225.0,247.74333333333334,2146.5560112443923
5.0,138.0,213.0,378.184,2876.8205205397135
6.0,167.0,291.0,95.765,621.092184008882
1.0,35.0,39.0,358.52,3145.67132200184
9.0,215.0,228.0,209.2911111111111,2471.187206628833
7.0,272.0,300.0,374.9814285714286,2928.376908888892
3.0,312.0,326.0,114.50999999999999,471.20379897196017
2.0,69.0,332.0,131.275,248.89648770811527
58.0,332.0,333.0,149.88120689655173,7283.49907067498
11.0,203.0,319.0,568.4781818181818,5146.2129357072645
2.0,124.0,158.0,279.35,1553.204751045584
12.0,311.0,325.0,465.08833333333337,5331.185996358904
1.0,125.0,271.0,166.4,431.3636768401884
2.0,178.0,259.0,87.65,342.3822403558811
3.0,161.0,229.0,93.46666666666668,494.66401579168274
5.0,232.0,278.0,115.904,745.8597573499368
2.0,49.0,206.0,67.8,246.38090122219518
2.0,258.0,325.0,166.54999999999998,547.7817666303866
10.0,168.0,287.0,782.445,6680.174238069089
2.0,109.0,175.0,45.0,236.29359686547141
17.0,314.0,318.0,269.5482352941176,4281.521765765864
2.0,73.0,207.0,73.65,301.6167287647585
1.0,37.0,321.0,229.46999999999997,246.59810461047715
6.0,216.0,255.0,92.83333333333333,730.7084741548676
10.0,307.0,332.0,235.061,2266.1286361381417
10.0,209.0,242.0,181.66,2229.069797777979
3.0,196.0,210.0,893.8366666666667,5082.982850003281
1.0,50.0,84.0,364.64,2233.526272192471
17.0,231.0,256.0,358.25529411764705,6699.536877715435
7.0,295.0,326.0,227.46428571428572,1664.5102188494482
1.0,65.0,90.0,353.5,2129.3107819806546
3.0,190.0,236.0,142.75,744.2991879933854
5.0,241.0,315.0,1228.8,7070.203800025501
1.0,215.0,314.0,390.7,990.63859513007
1.0,35.0,48.0,513.88,4127.475747816862
1.0,315.0,330.0,476.90999999999997,1231.0101290539246
2.0,203.0,221.0,460.94,2044.9005215127572
2.0,118.0,217.0,277.08500000000004,1181.3372100844645
2.0,210.0,251.0,355.90000000000003,1429.3273163226845
12.0,327.0,334.0,226.87250000000003,2548.2006804975676
3.0,215.0,288.0,294.24666666666667,1303.5176103247095
1.0,254.0,279.0,153.78,456.95796439766923
21.0,321.0,327.0,223.3347619047619,4204.202713051129
2.0,149.0,174.0,607.2049999999999,3171.5704107547926
1.0,93.0,112.0,90.15,501.727776874702
2.0,239.0,288.0,193.19,700.7553089610215
17.0,316.0,330.0,205.57941176470587,3167.6307184482766
1.0,76.0,327.0,263.72,411.2142525576722
30.0,315.0,327.0,322.825,8458.84601629355
2.0,65.0,101.0,68.35000000000001,503.575102637928
10.0,242.0,332.0,1860.5670000000002,17163.6247705294
7.0,212.0,299.0,459.4342857142857,3487.7146565476637
2.0,138.0,256.0,67.20000000000002,256.68530152657144
73.0,329.0,330.0,601.7579452054795,36826.272979118454
12.0,319.0,333.0,480.33,5399.979878998192
5.0,289.0,320.0,69.926,406.59698811279765
9.0,106.0,334.0,771.3411111111111,395.8589689361374
13.0,288.0,329.0,107.96769230769232,1307.9611761691242
8.0,283.0,321.0,573.86125,4712.582831335336
26.0,274.0,278.0,854.3796153846154,22256.501811268172
18.0,323.0,326.0,295.29999999999995,4842.33049356079
4.0,308.0,315.0,139.11,701.9397202505693
1.0,5.0,94.0,76.5,360.4149557951113
4.0,289.0,294.0,239.3075,1271.604960598551
3.0,106.0,118.0,136.26333333333335,1138.1607142185621
5.0,258.0,272.0,187.918,1235.4364078267788
21.0,326.0,327.0,441.68285714285713,8315.035863001296
11.0,315.0,327.0,156.65636363636364,1661.144007160779
1.0,21.0,99.0,501.14,2438.3478778510507
6.0,251.0,333.0,106.60833333333333,671.85574905725
2.0,80.0,249.0,300.535,993.426249519827
1.0,146.0,201.0,903.67,3248.36030797732
2.0,270.0,320.0,1274.2649999999999,4226.538255381456
6.0,322.0,327.0,230.48833333333334,1500.3056632150224
2.0,123.0,148.0,206.65,1206.4572755517167
1.0,31.0,265.0,57.45,87.40213794437089
4.0,168.0,201.0,345.14750000000004,2414.82715708479
9.0,315.0,326.0,285.05333333333334,2558.8504252093867
6.0,268.0,269.0,302.695,2294.6402838149443
4.0,326.0,333.0,159.615,769.9559420197859
3.0,187.0,220.0,941.3466666666667,5150.497954429131
2.0,258.0,327.0,132.10500000000002,433.3158285144682
4.0,231.0,276.0,597.1875,3297.9570924935465
4.0,333.0,333.0,79.94250000000001,388.09482516166213
1.0,56.0,60.0,118.80000000000001,906.6890143349785
8.0,257.0,325.0,244.97375,1971.255077350633
2.0,183.0,250.0,313.23,1247.5545101209477
2.0,289.0,329.0,251.4,822.925729811626
4.0,249.0,259.0,355.36249999999995,2077.35586531407
3.0,224.0,279.0,289.39000000000004,1322.7711209308668
3.0,65.0,76.0,213.29333333333332,2246.783980010803
4.0,212.0,295.0,410.31000000000006,2121.7668631119004
1.0,305.0,312.0,666.84,1801.1953111610883
2.0,76.0,104.0,242.515,1738.4776591812724
2.0,119.0,279.0,377.28000000000003,1240.375233571769
1.0,189.0,213.0,207.68,747.8486900519833
1.0,250.0,260.0,132.54,420.1989255668826
1.0,53.0,330.0,692.3,851.1398310012949
8.0,287.0,321.0,584.2162500000001,4801.9963240351
6.0,248.0,295.0,463.90000000000003,3244.5950285883105
7.0,160.0,251.0,193.86285714285714,1642.7490130887418
4.0,89.0,89.0,137.83750000000003,1614.671801444243
1.0,110.0,166.0,464.32,1889.0408737623286
1.0,178.0,223.0,512.13,1738.3322946763267
6.0,298.0,322.0,348.17,2286.733940708388
23.0,324.0,327.0,314.4026086956522,6436.35370474038
1.0,52.0,87.0,307.69,1853.2270339105921
2.0,203.0,203.0,270.265,1283.809719501164
5.0,251.0,270.0,207.49,1370.214810754238
7.0,254.0,322.0,589.4185714285715,4297.3848857560715
1.0,266.0,322.0,110.7,292.1402954661914
4.0,143.0,160.0,276.52000000000004,2272.2435967548786
3.0,34.0,117.0,16.206666666666667,128.88303517361052
3.0,158.0,197.0,114.33333333333333,681.0296540223833
1.0,119.0,320.0,498.16,1008.8283606858602
1.0,32.0,193.0,62.4,162.3430539381592
1.0,91.0,112.0,1212.26,6490.576080075649
6.0,301.0,322.0,576.02,3782.3521637703384
10.0,227.0,326.0,190.919,1751.0206400142483
4.0,145.0,204.0,219.6125,1503.1837228145039
1.0,262.0,297.0,300.88,838.2819210054022
1.0,18.0,67.0,439.23,2821.5276157515777
1.0,197.0,321.0,227.70000000000002,555.551809728629
3.0,269.0,326.0,184.53666666666666,749.5578312997509
1.0,101.0,174.0,166.4,648.1288251065923
4.0,154.0,291.0,381.23,1860.7548657953253
1.0,31.0,43.0,85.8,742.4191400457366
1.0,65.0,150.0,78.21000000000001,327.34856090714646
2.0,169.0,222.0,291.84000000000003,1275.57747797886
1.0,183.0,300.0,553.9200000000001,1413.1298356093873
1.0,17.0,246.0,845.1,1135.9208567346127
28.0,282.0,286.0,229.36678571428573,6267.420153858215
4.0,220.0,234.0,322.555,2033.2135063027324
14.0,316.0,320.0,197.42714285714285,2625.77776080681
14.0,274.0,327.0,216.385,2786.1565188525965
6.0,183.0,228.0,363.3216666666667,3082.0501951419064
11.0,323.0,330.0,289.35818181818183,3044.7080819464527
1.0,36.0,60.0,453.55,3278.2135549628097
1.0,17.0,94.0,75.9,392.1377306656949
1.0,14.0,39.0,137.75,1175.090936854408
2.0,215.0,298.0,253.755,881.8428206879216
4.0,142.0,181.0,86.025,650.3342958185974
1.0,126.0,146.0,68.16,327.7655869421767
2.0,129.0,251.0,586.635,2202.3909774517424
1.0,60.0,210.0,483.65,1313.963141248538
1.0,13.0,333.0,201.20000000000002,129.66346687754483
3.0,189.0,253.0,154.74333333333334,760.4744932487849
7.0,280.0,333.0,199.42142857142858,1427.6536729715642
2.0,151.0,164.0,549.815,3002.0399447402247
3.0,263.0,269.0,277.06666666666666,1317.8435665535965
3.0,124.0,285.0,126.12666666666667,501.24141577794876
2.0,198.0,300.0,305.52,1042.7369265584655
2.0,22.0,34.0,151.17000000000002,1757.4237189394391
3.0,175.0,215.0,1205.9133333333332,6689.041227759704
6.0,294.0,319.0,196.72833333333332,1303.2183252402447
22.0,301.0,328.0,343.47636363636366,6700.2816379002925
4.0,143.0,174.0,245.77249999999998,1901.7306469570767
1.0,14.0,47.0,308.32,2384.9448401886157
5.0,271.0,321.0,1015.6220000000001,5810.16236130034
6.0,253.0,326.0,379.69166666666666,2434.193213007212
2.0,223.0,276.0,374.265,1393.6597739635927
2.0,223.0,266.0,1232.71,4720.872967236045
4.0,231.0,237.0,1764.6125,11008.734346974084
1.0,210.0,238.0,1656.15,5411.319738590851
1.0,11.0,248.0,389.5,464.48567853366416
1.0,29.0,40.0,646.57,5538.605353185233
2.0,235.0,248.0,784.405,3196.508037203238
1.0,5.0,32.0,134.95999999999998,1208.699662020106
1.0,81.0,298.0,588.0,1097.9641283331882
2.0,216.0,237.0,1122.185,4716.058980793827
2.0,135.0,195.0,385.0,1829.1896619168888
1.0,68.0,97.0,136.29,797.9399454002848
4.0,209.0,259.0,615.3325,3558.383673756234
6.0,133.0,139.0,469.4733333333333,5640.179437864724
1.0,10.0,92.0,677.1,3258.758798088085
1.0,158.0,193.0,322.26,1223.8197617134074
6.0,256.0,270.0,317.36,2394.777004943597
5.0,267.0,300.0,247.852,1504.2427488424098
1.0,245.0,333.0,312.95,770.3221504331036
2.0,243.0,278.0,87.52550000000001,331.27713021307045
44.0,329.0,334.0,492.4052272727273,18275.18623763757
4.0,217.0,252.0,182.165,1084.039558246541
2.0,163.0,257.0,461.4,1764.773286289571
1.0,38.0,42.0,437.5,3739.317510151876
16.0,313.0,333.0,299.66125,4335.79219834319
3.0,36.0,131.0,52.583333333333336,359.97104766569527
1.0,250.0,251.0,1026.04,3277.0092920214997
2.0,186.0,255.0,611.32,2390.7913112966203
7.0,295.0,320.0,274.29,2038.275713248189
1.0,95.0,176.0,250.36,946.1496926295325
2.0,26.0,36.0,263.64,3003.561852009603
1.0,21.0,49.0,853.68,6564.99655603966
1.0,22.0,57.0,461.40000000000003,3305.6876251611734
5.0,145.0,150.0,415.33000000000004,4159.028120461687
3.0,91.0,151.0,674.75,4667.810782352887
6.0,294.0,334.0,328.565,2090.265602053892
4.0,129.0,179.0,321.65999999999997,2415.73576243808
3.0,208.0,295.0,530.8933333333333,2289.1584820425815
1.0,11.0,231.0,295.0,407.08593017708523
1.0,124.0,250.0,171.98,487.5128729559965
4.0,144.0,168.0,212.73,1690.4473174658804
18.0,316.0,320.0,459.6783333333334,7647.6213712853005
1.0,25.0,124.0,576.4,2320.8284910502066
33.0,315.0,334.0,144.01,4053.227466370703
1.0,16.0,76.0,115.5,690.4512185190192
2.0,272.0,293.0,118.08,428.5746741439275
3.0,107.0,259.0,426.16,1793.9804515026435
3.0,103.0,242.0,121.72333333333334,553.7254010171187
6.0,234.0,252.0,226.42,1800.3968607521804
2.0,36.0,195.0,73.325,257.93874848263323
6.0,323.0,329.0,297.5516666666667,1926.1076693865891
2.0,77.0,116.0,252.48000000000002,1687.0536274512556
2.0,296.0,314.0,179.875,615.7311186102926
14.0,324.0,328.0,538.0657142857143,7011.042435254284
3.0,189.0,255.0,132.72,648.6903363801932
9.0,321.0,333.0,122.08111111111111,1079.362504087062
2.0,78.0,175.0,454.52,2196.269372880646
1.0,12.0,248.0,179.35,220.3481745323523
3.0,136.0,329.0,168.91,573.7073392373876
1.0,86.0,329.0,126.5,212.50089229235516
4.0,205.0,230.0,152.72500000000002,975.7011152719421
1.0,46.0,249.0,1340.32,2546.06936967727
1.0,49.0,284.0,114.6,183.97914335370544
7.0,165.0,193.0,616.0185714285715,6659.39143700888
2.0,57.0,330.0,75.85000000000001,127.20417569070274
2.0,47.0,106.0,818.2349999999999,5552.035192098617
5.0,232.0,245.0,168.324,1198.322191252149
3.0,138.0,144.0,376.93666666666667,2776.938274096747
3.0,175.0,208.0,229.24,1310.6323407236596
1.0,166.0,199.0,474.41,1761.3553041880514
4.0,120.0,140.0,398.2075,3557.7775836782926
1.0,28.0,39.0,122.75,1085.1968298678703
6.0,313.0,332.0,584.0583333333333,3743.945846951536
3.0,320.0,327.0,736.5300000000001,2999.8001385698126
4.0,179.0,180.0,130.245,996.0191893084072
4.0,237.0,287.0,341.605,1830.5105491751353
1.0,126.0,165.0,126.66000000000001,539.9411360920751
1.0,161.0,327.0,178.35,401.8694625490924
1.0,85.0,228.0,146.64,411.82546966771133
30.0,312.0,319.0,151.97633333333334,4066.2654236609237
1.0,23.0,36.0,455.17,4022.535190023377
6.0,272.0,276.0,196.97500000000002,1465.1432829964353
3.0,224.0,270.0,147.24666666666667,694.7547320697574
1.0,201.0,201.0,168.5,644.2106641831804
1.0,147.0,161.0,188.16,826.9815070245801
1.0,147.0,204.0,281.01,1006.7708903947372
6.0,178.0,203.0,126.66166666666668,1179.6879987770506
11.0,249.0,276.0,283.0918181818182,3414.8749989322528
1.0,128.0,162.0,2559.23,10806.25347806944
1.0,7.0,29.0,121.26,1135.0734193243334
2.0,164.0,206.0,598.03,2761.550558671144
1.0,56.0,101.0,310.88,1703.9642607260325
2.0,224.0,329.0,53.870000000000005,176.18613960030922
1.0,42.0,43.0,289.53000000000003,2475.166134484634
8.0,209.0,214.0,152.5575,1717.3674371459083
1.0,203.0,214.0,31.770000000000003,125.89123181160284
3.0,118.0,137.0,159.07,1209.4143031974884
16.0,322.0,334.0,328.859375,4752.357759710774
3.0,153.0,202.0,264.26666666666665,1530.693730983649
6.0,206.0,216.0,277.35166666666663,2472.9464036509066
5.0,252.0,264.0,270.784,1819.6319457485852
2.0,202.0,227.0,388.115,1686.3629737281299
2.0,59.0,225.0,54.785,189.81163020133383
4.0,228.0,297.0,357.6075,1853.693907027965
14.0,285.0,327.0,154.70499999999998,2006.0676672497166
1.0,166.0,172.0,320.12,1344.0643662782866
1.0,68.0,272.0,180.4,361.58680583077944
5.0,231.0,246.0,174.50799999999998,1237.9682792510832
3.0,270.0,320.0,207.70666666666668,857.0641593084243
